Data,pm25,pm10,o3,no2,so2,co
2016-06-07,68.0,16.0,27.0,31.0,2.0,5.0
2016-06-08,68.0,27.0,27.0,31.0,2.0,5.0
2016-06-09,68.0,38.0,27.0,31.0,2.0,5.0
2016-06-10,68.0,27.0,27.0,31.0,2.0,5.0
2016-06-11,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-12,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-13,68.0,21.0,27.0,31.0,2.0,5.0
2016-06-14,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-15,68.0,21.0,27.0,31.0,2.0,5.0
2016-06-16,68.0,15.0,27.0,31.0,2.0,5.0
2016-06-17,68.0,29.0,27.0,31.0,2.0,5.0
2016-06-18,68.0,11.0,27.0,31.0,2.0,5.0
2016-06-19,68.0,21.0,27.0,31.0,2.0,5.0
2016-06-21,68.0,17.0,27.0,31.0,2.0,5.0
2016-06-22,68.0,31.0,27.0,31.0,2.0,5.0
2016-06-23,68.0,34.0,27.0,31.0,2.0,5.0
2016-06-24,68.0,40.0,27.0,31.0,2.0,5.0
2016-06-25,68.0,35.0,27.0,31.0,2.0,5.0
2016-06-26,68.0,28.0,27.0,31.0,2.0,5.0
2016-06-27,68.0,14.0,27.0,31.0,2.0,5.0
2016-06-28,68.0,24.0,27.0,31.0,2.0,5.0
2016-06-29,68.0,26.0,27.0,31.0,2.0,5.0
2016-06-30,68.0,22.0,27.0,31.0,2.0,5.0
2016-07-01,68.0,22.0,27.0,31.0,2.0,5.0
2016-07-02,68.0,20.0,27.0,31.0,2.0,5.0
2016-07-03,68.0,12.0,27.0,31.0,2.0,5.0
2016-07-04,68.0,20.0,27.0,31.0,2.0,5.0
2016-07-05,68.0,23.0,27.0,31.0,2.0,5.0
2016-07-06,68.0,20.0,27.0,31.0,2.0,5.0
2016-07-07,68.0,19.0,27.0,31.0,2.0,5.0
2016-07-08,68.0,26.0,27.0,31.0,2.0,5.0
2016-07-09,68.0,21.0,27.0,31.0,2.0,5.0
2016-07-10,68.0,16.0,27.0,31.0,2.0,5.0
2016-07-11,68.0,27.0,27.0,31.0,2.0,5.0
2016-07-12,68.0,27.0,27.0,31.0,2.0,5.0
2016-07-13,68.0,15.0,27.0,31.0,2.0,5.0
2016-07-14,68.0,13.0,27.0,31.0,2.0,5.0
2016-07-15,68.0,14.0,27.0,31.0,2.0,5.0
2016-07-16,68.0,12.0,27.0,31.0,2.0,5.0
2016-07-17,68.0,17.0,27.0,31.0,2.0,5.0
2016-07-18,68.0,23.0,27.0,31.0,2.0,5.0
2016-07-19,68.0,20.0,27.0,31.0,2.0,5.0
2016-07-20,68.0,21.0,27.0,31.0,2.0,5.0
2016-07-21,68.0,28.0,27.0,31.0,2.0,5.0
2016-07-22,68.0,26.0,27.0,31.0,2.0,5.0
2016-07-23,68.0,26.0,27.0,31.0,2.0,5.0
2016-07-24,68.0,23.0,27.0,31.0,2.0,5.0
2016-07-25,68.0,25.0,27.0,31.0,2.0,5.0
2016-07-26,68.0,31.0,27.0,31.0,2.0,5.0
2016-07-27,68.0,25.0,27.0,31.0,2.0,5.0
2016-07-28,68.0,29.0,27.0,31.0,2.0,5.0
2016-07-29,68.0,23.0,27.0,31.0,2.0,5.0
2016-07-30,68.0,18.0,27.0,31.0,2.0,5.0
2016-07-31,68.0,17.0,27.0,31.0,2.0,5.0
2016-08-01,68.0,13.0,27.0,31.0,2.0,5.0
2016-08-02,68.0,23.0,27.0,31.0,2.0,5.0
2016-08-03,68.0,23.0,27.0,31.0,2.0,5.0
2016-08-04,68.0,24.0,27.0,31.0,2.0,5.0
2016-08-05,68.0,28.0,27.0,31.0,2.0,5.0
2016-08-06,68.0,10.0,27.0,31.0,2.0,5.0
2016-08-07,68.0,22.0,27.0,31.0,2.0,5.0
2016-08-08,68.0,20.0,27.0,31.0,2.0,5.0
2016-08-09,68.0,26.0,27.0,31.0,2.0,5.0
2016-08-10,68.0,10.0,27.0,31.0,2.0,5.0
2016-08-11,68.0,21.0,27.0,31.0,2.0,5.0
2016-08-12,68.0,23.0,27.0,31.0,2.0,5.0
2016-08-13,68.0,19.0,27.0,31.0,2.0,5.0
2016-08-14,68.0,20.0,27.0,31.0,2.0,5.0
2016-08-15,68.0,16.0,27.0,31.0,2.0,5.0
2016-08-16,68.0,25.0,27.0,31.0,2.0,5.0
2016-08-17,68.0,26.0,27.0,31.0,2.0,5.0
2016-08-18,68.0,27.0,27.0,31.0,2.0,5.0
2016-08-19,68.0,32.0,27.0,31.0,2.0,5.0
2016-08-20,68.0,30.0,27.0,31.0,2.0,5.0
2016-08-21,68.0,22.0,27.0,31.0,2.0,5.0
2016-08-22,68.0,24.0,27.0,31.0,2.0,5.0
2016-08-23,68.0,21.0,27.0,31.0,2.0,5.0
2016-08-24,68.0,17.0,27.0,31.0,2.0,5.0
2016-08-25,68.0,23.0,27.0,31.0,2.0,5.0
2016-08-26,68.0,29.0,27.0,31.0,2.0,5.0
2016-08-27,68.0,33.0,27.0,31.0,2.0,5.0
