Data,Zachmurzenie ogólne [oktanty],Zachmurzenie (max),Zachmurzenie (min),Prędkość wiatru  [m/s],Temperatura powietrza,Temperatura powietrza (max),Temperatura powietrza (min),Wilgotność względna [%],Ciśnienie na pozimie stacji [hPa],Ciśnienie na pozimie morza [hPa],Opad za 6 godzin [mm]
1961-12-7,"8,0",8,8,"3,75","-0,12499999999999999","0,0","-0,4","96,25","988,1125000000001","1014,8124999999999","19,799999999999997"
1961-12-8,"6,375",8,2,"3,625","-1,2","0,0","-4,0","91,625","993,5125","1020,3375","0,2"
1961-12-9,"1,875",7,0,"1,625","-7,6125","-1,7","-12,4","89,375","994,4625","1022,1","0,0"
1961-2-1,"7,5",8,7,"3,375","2,875","4,1","0,5","86,125","976,0749999999999","1002,1375","5,5"
1961-2-10,"8,0",8,8,"5,125","2,9625","4,3","1,3","90,75","992,8625","1019,375","4,2"
1961-2-11,"7,125",8,4,"1,875","3,05","6,4","0,7","81,625","993,5375","1020,075","0,0"
1961-2-12,"7,625",8,7,"2,25","3,125","6,7","0,7","89,875","986,0500000000001","1012,3625000000001","2,6"
1961-2-13,"7,875",8,7,"3,625","3,0499999999999994","4,7","1,9","87,625","997,1499999999999","1023,7875","0,7"
1961-2-14,"5,0",8,0,"1,75","1,4375","4,9","-1,8","86,25","1003,225","1030,0874999999999","0,1"
1961-2-15,"2,5",8,0,"0,75","2,225","8,0","-2,6","85,25","1004,55","1031,4375","0,0"
1961-2-16,"6,5",9,0,"2,75","2,9499999999999997","5,0","-1,1","93,625","1006,8625","1033,725","0,3"
1961-2-17,"8,0",8,8,"3,5","4,2875","5,1","3,5","92,375","1010,9874999999998","1037,85","0,1"
1961-2-18,"2,25",9,0,"1,125","3,8375000000000004","13,3","-1,4","83,625","1007,7499999999999","1034,6625","0,0"
1961-2-19,"6,0",8,0,"2,5","1,5875000000000001","3,6","-1,0","93,625","1005,0125","1032,025","0,0"
1961-2-2,"5,375",8,1,"2,375","2,0","5,1","-0,6","81,25","972,4125000000001","998,4875","0,6"
1961-2-20,"8,0",8,8,"1,625","2,8124999999999996","4,3","0,9","94,125","1007,6875000000001","1034,625","6,3"
1961-2-21,"6,625",8,2,"1,25","3,925","6,5","1,9","84,75","1009,8375","1036,7749999999999","0,0"
1961-2-22,"4,875",8,2,"2,25","2,8249999999999997","6,6","-1,4","84,0","1009,35","1036,35","0,0"
1961-2-23,"6,875",8,0,"3,125","2,4875","3,7","1,3","83,375","1006,2625","1033,275","0,0"
1961-2-24,"8,0",8,8,"1,5","1,4","2,1","0,8","88,625","1005,375","1032,475","0,0"
1961-2-25,"5,875",8,0,"3,25","-0,25","0,7","-1,9","88,5","1007,1875000000001","1034,4624999999999","0,0"
1961-2-26,"3,75",9,0,"0,625","-1,1375000000000002","1,3","-2,4","91,5","1009,625","1037,025","0,0"
1961-2-27,"3,625",9,0,"0,875","2,0500000000000003","9,3","-5,2","80,5","1006,4875","1033,5","0,0"
1961-2-28,"6,75",8,5,"2,625","6,262499999999999","13,9","0,1","74,125","991,725","1017,9624999999999","0,1"
1961-2-3,"7,0",8,4,"4,0","0,5125","1,5","-1,0","88,5","970,5874999999999","996,7625","0,2"
1961-2-4,"5,375",8,0,"4,0","0,18749999999999997","1,4","-1,8","82,375","981,1000000000001","1007,5875","0,2"
1961-2-5,"6,125",8,2,"2,25","-1,9","0,3","-3,9","85,625","985,55","1012,3125","1,1"
1961-2-6,"2,25",7,0,"1,875","-1,8125","2,1","-6,0","74,75","994,4125","1021,4625","0,0"
1961-2-7,"6,75",8,2,"2,25","5,551115123125783e-17","3,5","-3,6","80,0","985,7","1012,375","0,1"
1961-2-8,"6,375",8,1,"4,125","1,625","3,1","-0,1","89,0","989,6500000000001","1016,1624999999999","0,8"
1961-2-9,"7,25",8,4,"2,625","1,9625","4,7","0,0","86,75","990,275","1016,8","1,3"
1961-3-1,"7,25",8,6,"4,125","3,6624999999999996","5,0","2,7","85,125","993,6875000000001","1020,1","3,3"
1961-3-10,"0,5",2,0,"2,875","10,725","19,8","4,2","61,25","1001,0875000000001","1027,1","0,0"
1961-3-11,"3,125",8,0,"4,75","10,2125","15,7","6,1","66,25","997,6000000000001","1023,675","0,0"
1961-3-12,"7,875",8,7,"6,125","10,637500000000001","13,0","8,1","62,625","994,15","1020,1","0,0"
1961-3-13,"7,25",8,6,"7,0","9,1","13,9","5,3","54,0","983,7874999999999","1009,4499999999999","0,4"
1961-3-14,"7,625",8,7,"3,75","5,0125","7,6","3,4","77,625","989,7875","1016,025","1,1"
1961-3-15,"6,875",8,5,"6,625","9,5875","12,8","7,3","79,75","992,4499999999999","1018,3125","1,2"
1961-3-16,"4,25",7,0,"7,625","10,524999999999999","13,3","7,5","66,875","994,2375","1020,05","0,0"
1961-3-17,"2,25",7,0,"4,375","8,5375","14,8","3,0","67,125","996,75","1022,9","0,0"
1961-3-18,"2,5",4,0,"3,875","11,612499999999999","20,4","3,3","62,625","982,1750000000001","1007,675","0,0"
1961-3-19,"7,25",8,6,"4,875","5,8500000000000005","10,0","2,5","75,5","979,9375","1005,8625000000001","5,800000000000001"
1961-3-2,"7,0",8,5,"4,25","3,9249999999999994","6,2","2,6","81,0","1001,675","1028,2749999999999","1,1"
1961-3-20,"4,125",7,0,"4,875","1,7625000000000002","5,5","-0,8","59,875","984,025","1010,4125","0,0"
1961-3-21,"7,5",8,5,"6,875","3,2250000000000005","6,9","1,1","71,125","972,6125000000001","998,5875","3,9"
1961-3-22,"5,125",8,0,"5,375","0,6500000000000001","1,9","-1,4","81,25","984,9749999999999","1011,5249999999999","1,1"
1961-3-23,"7,25",8,2,"5,5","2,1375","5,1","-1,5","84,375","989,6999999999999","1016,2125","1,1"
1961-3-24,"7,25",8,2,"6,875","7,1000000000000005","8,7","5,1","73,625","992,925","1019,0374999999999","0,8"
1961-3-25,"7,5",8,6,"5,5","7,3125","9,1","6,1","77,625","994,7500000000001","1020,9125","2,5"
1961-3-26,"6,5",8,4,"3,25","8,15","11,3","5,5","70,0","992,1124999999998","1018,1999999999999","0,0"
1961-3-27,"6,125",8,2,"5,625","6,3875","8,4","2,4","57,5","982,775","1008,65","2,7"
1961-3-28,"6,625",8,2,"8,125","0,8999999999999999","2,7","-0,7","81,625","985,225","1011,75","2,4"
1961-3-29,"7,625",8,6,"6,5","2,625","5,3","0,0","87,625","986,875","1013,3375000000001","2,3000000000000003"
1961-3-3,"7,25",8,6,"2,75","4,4125000000000005","7,2","1,1","79,375","1003,0375000000001","1029,675","0,1"
1961-3-30,"7,5",8,6,"6,125","6,949999999999999","8,5","4,3","72,875","982,8875000000002","1008,7624999999999","0,5"
1961-3-31,"7,75",8,6,"4,0","5,9375","9,6","4,2","85,625","981,1500000000001","1007,0625000000001","8,5"
1961-3-4,"8,0",8,8,"2,25","5,425","7,5","3,4","89,75","1008,8125","1035,55","5,199999999999999"
1961-3-5,"5,625",8,0,"6,0","5,9625","9,7","3,1","76,125","1008,6","1035,275","0,0"
1961-3-6,"3,25",8,0,"4,0","5,8","9,4","3,5","76,125","1008,275","1035,0","0,0"
1961-3-7,"3,0",6,0,"4,25","6,0249999999999995","12,1","-0,1","74,125","1003,6125","1030,1375","0,0"
1961-3-8,"0,625",2,0,"4,125","6,562499999999999","12,3","-0,2","75,125","1006,8625000000001","1033,475","0,0"
1961-3-9,"2,5",8,0,"6,125","8,937499999999998","13,7","4,7","68,25","1005,725","1032,0375","0,0"
1961-4-1,"6,375",8,0,"6,75","7,2","11,0","2,1","60,375","984,3625","1010,2249999999999","0,0"
